Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.485176334813361,34610D,275.8161,13.559059,12.75305,160.39296601491716,69648.93709372853,0.2951472250831294,1.1290099037685195,67.74059422611118,89604.6598764176,1757.52313059406,2023-11-06 01:00:00,0.005115519476511,0.7305820758235784,0.7910877226472297,0.5645049518842599,0.8681378445674948,0.0162191405692819,0.0003809672839441,8.262346375916231e-05,2.8190075985366795e-05,1571574843645128.8,213.9925371602852,83.79511505769955,0.0812887130713334,0.0016589533279863,0.0013548118845222,1.0986942199999878,0.0258069501950818,0.0055969625320652,0.0019096124985279,1.064594137793288e+17,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.4817621937379387,44.8023299382088,16.21914056928197,28.1900759853668,1571574843645128.8,28.7667017700376,841.572558218203,1685.64799625471,0.511551947651,0.0260092986311357,0.497276510725053,44.8027319061406,19.1191818655873,19.02187509306895,0.5115519476511,0.8420904870666425,19.079490487262575,1135635539137147.8,18.607892359126968,29.3203169439248,1736162338376010.8
1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.4863243899448088,34610D,272.4418,15.2548685,14.436587,173.9516170787078,69581.19649950242,0.3037227714661165,1.2635222536281665,75.81133521768999,95357.78035689775,2114.344855429817,2023-11-06 01:01:00,0.0043915516493729,0.6833994069049528,0.8370614793111633,0.6317611268140833,1.0,0.019155502618275,0.0003915800730682,8.492514538521778e-05,3.628235539e-05,1450000000000000.0,239.48800795268264,93.77862166428253,0.0909736022612279,0.0018566041277801,0.0015162267043537,1.452204230257385,0.0296862081839452,0.0064382886652098,0.0027506138069586,1.0992643606565048e+17,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5257131183382637,47.67889017844888,19.15550261827501,36.28235539,1450000000000000.0,30.8330884836799,859.650367329133,1734.26799949078,0.439155164937,0.0271831891984592,0.548422625334514,47.6785971032697,20.1750656014122,20.086853148337905,0.4391551649372899,0.9235607890287225,20.935046020002275,1072486570991472.4,21.9241795778888,28.71522300407174,1678758434887217.8
2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.4875045174448486,34610D,268.2026,17.123575,16.460327,187.79674627266988,69505.38516428473,0.3079105893524048,1.2237021902836716,73.4221314170203,101262.95703270118,2500.4847561947863,2023-11-06 01:02:00,0.0030681374137576,0.6299442896063308,0.7699737711730957,0.6118510951418358,1.0,0.0193380034507705,0.0004040405717542,8.762755476521007e-05,3.628235539e-05,1450000000000000.0,231.9405131463671,90.82317656285412,0.0881065577004243,0.0017980930142943,0.0014684426283404,1.419837430705266,0.0296655199571464,0.0064338018417233,0.0026639278655636,1.0646209055467942e+17,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5720233610421264,50.63147851635059,19.338003450770533,36.28235539,1450000000000000.0,32.8555589130216,879.416441218834,1790.57845626437,0.306813741376,0.0285843328670599,0.603896269758072,50.6306349637362,21.126827502558,21.062205761046275,0.30681374137576,1.0,23.500318478247312,978946881908518.1,24.507428836744282,27.798384372144582,1613856186138251.8
3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.4886882011196681,34610D,264.16476,19.908968,17.881569,202.12277487156868,69431.9630328677,0.3201093891020263,1.1219373320467212,67.31623992280328,76635.71578346303,1305.7193587881234,2023-11-06 01:03:00,0.0025842722891231,0.5712403748956332,0.8348481252725184,0.5609686660233606,0.9654863028570972,0.0182666990318977,0.0004246363030324,9.20943179981033e-05,3.6071302782545856e-05,1453170761471414.8,212.6520019161356,83.27018878450767,0.0807794879073639,0.0016485609777013,0.001346324798456,1.2296454946288682,0.0285849192548618,0.0061994432058872,0.0024281844724379,9.782199162801248e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6203474786886829,38.31785789173152,18.26669903189776,36.07130278254585,1453170761471414.8,27.280286821057,850.023700009187,1704.37263528348,0.258427228912,0.02635227104558,0.475335761682633,38.3178518161989,18.0377532114963,17.99125889967543,0.25842722891231,0.8779878204323212,20.173482740715446,984273232987730.8,17.63529393812637,26.520586515215715,1542118534716265.2
4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.4898794348727255,34610D,262.464,21.32804,17.570606,214.61340849012325,69364.6467929449,0.3260841177312318,1.0906843067563214,65.44105840537928,71474.53144310463,1310.0559928084492,2023-11-06 01:04:00,0.00259328123267,0.5424921360051816,0.9251144053347196,0.5453421533781607,0.974418736878684,0.0181753664243919,0.0004381613947213,9.502761429439887e-05,3.620295843823952e-05,1451192824853607.2,206.72830350259312,80.95058924745418,0.0785292700864551,0.0016026381650296,0.0013088211681075,1.189415215717805,0.0286737454229442,0.0062187076571636,0.0023691599176043,9.496759440871226e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6608139563169506,35.73726572155231,18.17536642439197,36.20295843823952,1451192824853607.2,26.4807159973186,850.544601287429,1699.82416649524,0.259328123267,0.0261779254762242,0.459018828614699,35.7373738753454,17.5345761844879,17.489221714042866,0.259328123267,0.8803057069319952,20.022956500953335,922716812288742.5,16.647630878334116,26.611115757019448,1496057874133572.5
5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.4910959983002216,34610D,260.72287,22.819613,15.357339,222.35191224656936,69299.20573453953,0.3307246937795616,1.0820150585167938,64.92090351100762,72250.39525834656,1956.41921226326,2023-11-06 01:05:00,0.0025374196660746,0.5149267974234382,1.004703240177138,0.5410075292583969,1.0,0.0184673836429859,0.0004520599545971,9.804190766446008e-05,3.628235539e-05,1450000000000000.0,205.08513419127303,80.30715764311644,0.0779050842132091,0.0015898996778205,0.0012984180702201,1.1989192315870505,0.0293481406935941,0.0063649692275195,0.0023554832934262,9.413531009096106e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6869237181435692,36.12519762917328,18.467383642985933,36.28235539,1450000000000000.0,26.8599959047805,858.909943446645,1721.95789895274,0.253741966607,0.0267147153760761,0.47171086300536,36.1246613461588,17.6573418943401,17.61265120679626,0.25374196660746,0.9200015021076956,20.753941359474595,862483843632388.9,17.456445936069287,26.048197349505312,1459095034180813.5
6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.492720417872883,34610D,257.1068,23.721052,14.207628,222.1857081571461,69234.28483102852,0.3314063070004183,1.0534056389626092,63.20433833775655,68968.83360675715,1519.3438694416593,2023-11-06 01:06:00,0.00223975427654,0.4759628928252322,1.142229249895895,0.5267028194813046,1.0,0.0182575207187042,0.0004677734884187,0.0001014498291499,3.628235539e-05,1450000000000000.0,199.66250480897293,78.18376652380486,0.0758452060053078,0.001547861347047,0.0012640867667551,1.153954516713586,0.0295653138274493,0.0064120693259027,0.0022932022657602,9.1646290589747e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6912203684188937,34.48441680337857,18.25752071870429,36.28235539,1450000000000000.0,25.4978565469137,853.324495420915,1715.15099743179,0.223975427654,0.0266270600131547,0.447372106679805,34.4845701542915,16.8014082838581,16.763861353699827,0.223975427654,0.8934294024794769,20.129332952126816,874382388079309.8,16.4000595223073,23.601258407311207,1425956264867691.5
7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.4949418121781694,34610D,254.02104,24.218765,14.558698,226.2376574503135,69171.08049269076,0.3313597507481223,0.8836681086178964,53.02008651707378,55821.75668432358,772.5054498205002,2023-11-06 01:07:00,0.0017726619884202,0.4473909919617161,1.1363328872024905,0.4418340543089482,0.8564513266440233,0.015172348247263,0.0004788001680352,0.0001038412745629,3.149940535856264e-05,1521856935871682.0,167.49045330743607,65.58584702162027,0.0636241038204885,0.0012984510983773,0.0010604017303414,0.8044392167370608,0.0253860263336208,0.0055056733613712,0.0016701011973473,8.068898640652538e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7080880599739752,27.91087834216179,15.172348247263072,31.49940535856264,1521856935871682.0,21.8872397848863,827.892103047983,1645.59420105183,0.177266198842,0.0249158517357553,0.367823416857287,27.910879151862,14.7626266506252,14.736503810478156,0.17726619884202,0.7845231815764403,18.07100069507144,761164493589531.6,12.154968218019011,22.502442235681624,1372847461179131.2
8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.4972423094923607,34610D,252.53842,25.214813,15.0375805,229.3422742835852,69118.06040617368,0.3177861123712059,1.01856223943577,61.11373436614621,84901.80150003597,2679.721695854688,2023-11-06 01:08:00,0.0015756426575748,0.4334051238880015,1.1279460681837317,0.509281119717885,1.0,0.0181561017404592,0.0004851029921194,0.0001052082191255,3.628235539e-05,1450000000000000.0,193.05828686265585,75.59768941092285,0.0733364812393754,0.0014966628824362,0.0012222746873229,1.1095871788911515,0.0296464554006102,0.0064296671567716,0.0022173502294825,8.8614914830912e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7199090064523327,42.45090075001799,18.156101740459253,36.28235538999999,1450000000000000.0,29.3882523051554,893.781304945189,1849.55098255791,0.157564265757,0.0302615602504741,0.561838151344716,42.4504339458898,18.5660668747545,18.536859408333264,0.15756426575748,1.0,24.594461489710064,820415769221133.8,20.538684429467004,22.07510975021933,1348057472047376.2
9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.4995401016172068,34610D,247.5026,28.6934,13.816006,232.9325379873014,69056.94667180754,0.3255201430029341,0.9781181033019614,58.68708619811768,73414.89569680879,2449.8846557383526,2023-11-06 01:09:00,0.0009829555492455,0.3876339764052093,1.0331216380345438,0.4890590516509807,1.0,0.0179318906789979,0.000508637331196,0.0001103123020579,3.628235539e-05,1450000000000000.0,185.39250529985367,72.59592562707158,0.0704245034377412,0.0014372347640355,0.0011737417239623,1.0523704139735763,0.0298504428994834,0.0064739075795868,0.0021293057182436,8.509627498727064e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7385798822670377,36.70744784840439,17.931890678997963,36.28235539,1450000000000000.0,26.0077335616368,874.648026423834,1803.29341395308,0.0982955549246,0.0291178533808696,0.485440153676135,36.7083962420813,16.671563913948,16.655192599958117,0.09829555492455,0.995330860642123,22.433123074014635,793873617496569.1,19.640547648904917,19.953795497660412,1231807348145891.8
